"title","rating","overview","release date","original language","director","actors","revenue","genres","genres_ru"
"Girl in the Basement","7.68","Sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.","2021-02-27","en","Elisabeth Röhm","Judd Nelson, Stefanie Scott, Joely Fisher, Braxton Bjerken, Kim Rosen","0","Thriller, Crime, TV Movie","Триллер, Криминал, TV Movie"
"Voyagers","6","With the future of the human race at stake, a group of young men and women -- bred for intelligence and obedience -- embark on an expedition to colonize a distant planet. When they uncover disturbing secrets about the mission, they defy their training and begin to explore their most primitive natures. As life on the ship descends into chaos, they soon become consumed by fear, lust and an insatiable hunger for power.","2021-04-08","en","Neil Burger","Tye Sheridan, Lily-Rose Depp, Fionn Whitehead, Colin Farrell, Chanté Adams","4298184","Science Fiction, Thriller","Научная фантастика, Триллер"
"Meteor","5.5","After a meteor collides into Earth, a lonely rancher and a lost young girl are on the run from vicious mercenaries.","2021-09-01","en","Brett Bentman","Robert Keith, Olivia Nash, Thom Hallum, Allyn Carrell, Jordan Walker Ross","0","Science Fiction, Thriller","Научная фантастика, Триллер"
"Nightmare Alley","6.995","An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychologist who is even more dangerous than he is.","2021-12-02","en","Guillermo del Toro","Bradley Cooper, Cate Blanchett, Toni Collette, Willem Dafoe, Richard Jenkins","39629195","Crime, Drama, Thriller","Криминал, Драма, Триллер"
"The Voyeurs","6.608","When Pippa and Thomas move into their dream apartment, they notice that their windows look directly into the apartment opposite – inviting them to witness the volatile relationship of the attractive couple across the street. But what starts as a simple curiosity turns into full-blown obsession with increasingly dangerous consequences.","2021-08-25","en","Michael Mohan","Sydney Sweeney, Justice Smith, Ben Hardy, Natasha Liu Bordizzo, Katharine King So","0","Thriller","Триллер"
"The Batman","7.7","In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.","2022-03-01","en","Matt Reeves","Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell, Paul Dano","771000000","Crime, Mystery, Thriller","Криминал, Мистика, Триллер"
"Wifelike","6.8","A grieving detective in the near-future hunts down criminals who trade artificial humans on the black market. In the fight to end AI exploitation, an underground resistance attempts to infiltrate him by sabotaging the programming of the artificial human assigned as his companion to behave like his late wife. She begins to question her reality as memories of a past life begin to surface in a world where nothing is as it seems.","2022-08-12","en","James Bird","Elena Kampouris, Jonathan Rhys Meyers, Doron Bell, Agam Darshi, Sara Sampaio","0","Science Fiction, Mystery, Thriller","Научная фантастика, Мистика, Триллер"
"Alice, Darling","5.679","Pushed to the breaking point by Simon, her psychologically abusive boyfriend, Alice becomes an unwitting participant in an intervention staged by her two closest friends while on vacation. As she rediscovers the essence of herself and gains some much-needed perspective, she slowly starts to fray the cords of codependency that bind her. However, Simon's vengeance is as inevitable as it is shattering, and once unleashed, it tests her strength, her courage, and the bonds of deep-rooted friendships.","2022-12-30","en","Mary Nighy","Anna Kendrick, Wunmi Mosaku, Kaniehtiio Horn, Charlie Carrick, Markjan Winnick","121067","Thriller, Drama, Romance","Триллер, Драма, Романтика"
"Deep Water","5.812","A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.","2022-03-18","en","Adrian Lyne","Ben Affleck, Ana de Armas, Tracy Letts, Lil Rel Howery, Dash Mihok","0","Drama, Mystery, Thriller","Драма, Мистика, Триллер"
"Joker: Folie à Deux","5.771","While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.","2024-10-01","en","Todd Phillips","Joaquin Phoenix, Lady Gaga, Brendan Gleeson, Catherine Keener, Zazie Beetz","192714058","Drama, Crime, Thriller","Драма, Криминал, Триллер"
"Woman of the Hour","6.669","An aspiring actress crosses paths with a prolific serial killer in '70s LA when they're cast on an episode of ""The Dating Game.""","2024-10-03","en","Anna Kendrick","Anna Kendrick, Daniel Zovatto, Tony Hale, Nicolette Robinson, Autumn Best","0","Crime, Drama, Thriller","Криминал, Драма, Триллер"
"GoodFellas","8.459","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.","1990-09-12","en","Martin Scorsese","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino","46800000","Drama, Crime","Драма, Криминал"
"Bullet in the Head","7.6","Three childhood friends from the slums of Hong Kong flee to war-time Saigon after accidentally murdering a gang leader, but their troubles only escalate.","1990-08-17","cn","John Woo","Tony Leung Chiu-wai, Jacky Cheung Hok-Yau, Waise Lee Chi-Hung, Simon Yam, Fennie Yuen Kit-Ying","0","Crime, Drama, Action","Криминал, Драма, Боевик"
"The Hot Spot","6.3","Upon arriving to a small town, a drifter quickly gets into trouble with the local authorities — and the local women — after he robs a bank.","1990-10-12","en","Dennis Hopper","Don Johnson, Virginia Madsen, Jennifer Connelly, Charles Martin Smith, William Sadler","1293976","Romance, Crime, Thriller","Романтика, Криминал, Триллер"
"Marked for Death","6.1","Just retired from the Drug Enforcement Agency, John Hatcher returns to his hometown and quickly discovers that drugs have infiltrated his old neighborhood. Determined to drive the dealers out, Hatcher crosses paths with a ferocious Jamaican drug lord who vows that Hatcher and his family are now marked for death.","1990-10-05","en","Dwight H. Little","Steven Seagal, Basil Wallace, Keith David, Tom Wright, Joanna Pacula","46044400","Action, Crime","Боевик, Криминал"
"Cadillac Man","5.706","Joe's a car salesman with a problem—he has two days to sell 12 cars or he loses his job. This would be a difficult task at the best of times but Joe has to contend with his girlfriends (he's two-timing), a missing teenage daughter and an ex-wife.","1990-05-18","en","Roger Donaldson","Robin Williams, Tim Robbins, Pamela Reed, Fran Drescher, Zack Norman","27575086","Comedy, Drama, Crime","Комедия, Драма, Криминал"
"Days of Being Wild","7.3","Yuddy, a Hong Kong playboy known for breaking girls' hearts, tries to find solace and the truth after discovering the woman who raised him isn't his mother.","1990-12-15","cn","Wong Kar-wai","Leslie Cheung, Andy Lau Tak-Wah, Maggie Cheung, Carina Lau, Jacky Cheung Hok-Yau","3255404","Crime, Drama, Romance","Криминал, Драма, Романтика"
"Naked Lunch","7.011","Blank-faced bug killer Bill Lee and his dead-eyed wife, Joan, like to get high on Bill's pest poisons while lounging with Beat poet pals. After meeting the devilish Dr. Benway, Bill gets a drug made from a centipede. Upon indulging, he accidentally kills Joan, takes orders from his typewriter-turned-cockroach, ends up in a constantly mutating Mediterranean city and learns that his hip friends have published his work -- which he doesn't remember writing.","1991-12-27","en","David Cronenberg","Peter Weller, Judy Davis, Ian Holm, Julian Sands, Roy Scheider","2641357","Crime, Drama","Криминал, Драма"
"Boyz n the Hood","7.614","Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.","1991-07-12","en","John Singleton","Cuba Gooding Jr., Laurence Fishburne, Ice Cube, Morris Chestnut, Angela Bassett","57504069","Crime, Drama","Криминал, Драма"
"Bugsy","6.4","New York gangster Ben 'Bugsy' Siegel takes a brief business trip to Los Angeles. A sharp-dressing womanizer with a foul temper, Siegel doesn't hesitate to kill or maim anyone crossing him. In L.A. the life, the movies, and most of all strong-willed Virginia Hill detain him while his family wait back home. Then a trip to a run-down gambling joint at a spot in the desert known as Las Vegas gives him his big idea.","1991-12-10","en","Barry Levinson","Warren Beatty, Annette Bening, Harvey Keitel, Ben Kingsley, Elliott Gould","49114016","Crime, Drama, Mystery","Криминал, Драма, Мистика"
"A Brighter Summer Day","8.3","A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.","1991-07-27","zh","Edward Yang","Chang Chen, Lisa Yang, Kuo-Chu Chang, Elaine Jin, Chuan Wang","0","Crime, Drama, Romance","Криминал, Драма, Романтика"
"Carne","6.8","After a dreadful incident coupled with an ungovernable paroxysm of violence, a butcher will fall into a downward spiral that will burn to the ground whatever dignity still remained in him.","1991-05-01","fr","Gaspar Noé","Philippe Nahon, Blandine Lenoir, Marie Berto, Frankie Pain, Lucile Hadzihalilovic","0","Drama, Thriller, Crime","Драма, Триллер, Криминал"
"American Me","7.39","During his 18 years in Folsom Prison, street-gang leader Santana rules over all the drug-and-murder activities behind bars. Upon his release, Santana goes back to his old neighborhood, intending to lead a peaceful, crime-free life. But his old gang buddies force him back into his old habits.","1992-03-13","en","Edward James Olmos","Edward James Olmos, William Forsythe, Pepe Serna, Panchito Gómez, Steve Wilcox","13100000","Crime, Drama","Криминал, Драма"
"Glengarry Glen Ross","7.4","When an office full of Chicago real estate salesmen is given the news that all but the top two will be fired at the end of the week, the atmosphere begins to heat up. Shelley Levene, who has a sick daughter, does everything in his power to get better leads from his boss, John Williamson, but to no avail. When his coworker Dave Moss comes up with a plan to steal the leads, things get complicated for the tough-talking salesmen.","1992-09-15","en","James Foley","Al Pacino, Jack Lemmon, Alec Baldwin, Alan Arkin, Ed Harris","10725228","Crime, Drama, Mystery","Криминал, Драма, Мистика"
"Juice","7.2","Four Harlem friends -- Bishop, Q, Steel and Raheem -- dabble in petty crime, but they decide to go big by knocking off a convenience store. Bishop, the magnetic leader of the group, has the gun. But Q has different aspirations. He wants to be a DJ and happens to have a gig the night of the robbery. Unfortunately for him, Bishop isn't willing to take no for answer in a game where everything's for keeps.","1992-01-17","en","Ernest R. Dickerson","Omar Epps, Tupac Shakur, Khalil Kain, Jermaine Hopkins, Cindy Herron","20146880","Crime, Drama, Thriller","Криминал, Драма, Триллер"
"Man Bites Dog","7.2","The activities of rampaging, indiscriminate serial killer Ben are recorded by a willingly complicit documentary team, who eventually become his accomplices and active participants. Ben provides casual commentary on the nature of his work and arbitrary musings on topics of interest to him, such as music or the conditions of low-income housing, and even goes so far as to introduce the documentary crew to his family. But their reckless indulgences soon get the better of them.","1992-08-20","fr","Rémy Belvaux","Benoît Poelvoorde, Rémy Belvaux, André Bonzel, Jacqueline Poelvoorde-Pappaert, Valérie Parent","205569","Comedy, Crime","Комедия, Криминал"
"The Crying Game","6.8","Irish Republican Army member Fergus forms an unexpected bond with Jody, a kidnapped British soldier in his custody, despite the warnings of fellow IRA members Jude and Maguire. Jody makes Fergus promise he'll visit his girlfriend, Dil, in London, and when Fergus flees to the city, he seeks her out. Hounded by his former IRA colleagues, he finds himself increasingly drawn to the enigmatic, and surprising, Dil.","1992-09-02","en","Neil Jordan","Stephen Rea, Miranda Richardson, Jaye Davidson, Forest Whitaker, Adrian Dunbar","62548947","Crime, Drama, Thriller","Криминал, Драма, Триллер"
"Bad Lieutenant","7","While investigating a young nun's rape, a corrupt New York City police detective, with a serious drug and gambling addiction, tries to change his ways and find forgiveness.","1992-11-20","en","Abel Ferrara","Harvey Keitel, Brian McElroy, Frankie Acciarito, Peggy Gormley, Stella Keitel","2019469","Crime, Drama","Криминал, Драма"
"Thunderheart","6.2","An FBI man with Sioux background is sent to a reservation to help with a murder investigation, where he has to come to terms with his heritage.","1992-04-03","en","Michael Apted","Val Kilmer, Sam Shepard, Graham Greene, Fred Ward, Fred Thompson","0","Crime, Mystery, Thriller","Криминал, Мистика, Триллер"
"A Bronx Tale","7.868","Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl.","1993-10-01","en","Robert De Niro","Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra, Taral Hicks","17287898","Drama, Crime","Драма, Криминал"
"Fatal Instinct","5.4","Ned Ravine is a police officer and lawyer who occasionally defends the delinquents he arrests. He crosses paths with seductive Lola Cain during an assignment and promptly begins an affair with her. Meanwhile, Ned's wife, Lana, is deep in an affair of her own. Lana and her lover are planning to murder Ned in an elaborate fashion so they can collect on his triple indemnity life insurance policy.","1993-10-29","en","Carl Reiner","Armand Assante, Sherilyn Fenn, Kate Nelligan, Sean Young, Christopher McDonald","0","Comedy, Crime","Комедия, Криминал"
"Deadfall","3.97","After he accidentally kills his father, Mike, during a sting, Joe tries to carry out Mike's dying wish by recovering valuables that Mike's twin brother Lou stole from him years earlier. But Uncle Lou is also a confidence artist, and Joe is soon drawn into his increasingly dangerous schemes.","1993-10-08","en","Christopher Coppola","Michael Biehn, Sarah Trigger, Nicolas Cage, James Coburn, Peter Fonda","18369","Crime","Криминал"
"Menace II Society","7.5","A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.","1993-05-26","en","Albert Hughes","Tyrin Turner, Larenz Tate, Glenn Plummer, Jada Pinkett Smith, Samuel L. Jackson","27900000","Drama, Crime","Драма, Криминал"
"Iron Monkey","7.4","Iron Monkey is a Hong Kong variation of Robin Hood. Corrupt officials of a Chinese village are robbed by a masked bandit known as ""Iron Monkey"", named after a benevolent deity. When all else fails, the Governor forces a traveling physician into finding the bandit.","1993-09-03","cn","Yuen Wo-Ping","Yu Rongguang, Donnie Yen, Jean Wang, Angie Tsang Sze-Man, Yen Shi-Kwan","14681661","Action, Crime, Drama","Боевик, Криминал, Драма"
"Blink","6.2","Emma is an attractive girl in her 20s who has been blind for 20 years. A new type of eye operation partially restores her sight, but she is having problems: sometimes she doesn't ""remember"" what she's seen until later. One night she is awakened by a commotion upstairs. Peering out of her door, she sees a shadowy figure descending the stairs. Convinced that her neighbour has been murdered she approaches the police, only to find that she is unsure if it was just her new eyes playing tricks on her.","1993-10-01","en","Michael Apted","Madeleine Stowe, Aidan Quinn, James Remar, Bruce A. Young, Peter Friedman","16668552","Crime, Thriller","Криминал, Триллер"
"The Shawshank Redemption","8.707","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","1994-09-23","en","Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown","28341469","Drama, Crime","Драма, Криминал"
"Airheads","6.131","The Lone Rangers have heavy-metal dreams and a single demo tape they can't get anyone to play. The solution: Hijack an FM rock radio station and hold the deejays hostage until they agree to broadcast the band's tape.","1994-08-05","en","Michael Lehmann","Brendan Fraser, Steve Buscemi, Adam Sandler, Joe Mantegna, Chris Farley","5751882","Comedy, Crime, Music","Комедия, Криминал, Музыка"
"Police Academy: Mission to Moscow","4.6","The Russians seek help in dealing with the Mafia from the veterans of the Police Academy. They head off to Moscow, in order to find evidence against Konstantin Konali, who marketed a computer game that everyone in the world is playing.","1994-06-09","en","Alan Metter","George Gaynes, Michael Winslow, David Graf, Leslie Easterbrook, G.W. Bailey","126247","Comedy, Crime","Комедия, Криминал"
"Naked Gun 33⅓: The Final Insult","6.476","Frank Drebin is persuaded out of retirement to go undercover in a state prison. There he has to find out what top terrorist, Rocco, has planned for when he escapes. Adding to his problems, Frank's wife, Jane, is desperate for a baby.","1994-03-18","en","Peter Segal","Leslie Nielsen, Priscilla Presley, George Kennedy, O.J. Simpson, Fred Ward","132032598","Comedy, Crime","Комедия, Криминал"
"The Wicked Reporter 2: The Rebirth of Horserace Betting","8.8","The continuing adventures of Matsuzaki (Eiji Okuda), a racing tipster for a sports paper.  In this sequel to 1993's The Wicked Reporter, Matsuzaki befriends a mysterious old bettor at the track named Tokudaiji (Kei Sato).  The man turns out to be a well-connected millionaire and invites Matsuzaki to his home...  While the sequel covers the familiar territory of gambling and gangsters, Mochizuki also attempts to tactfully approach such subjects as gender dysphoria, transvestism, and infidelity.","1994-11-19","ja","Rokurō Mochizuki","Eiji Okuda, Chikako Aoyama, Kei Satō, Mari Yagisawa, Tatsuo Yamada","0","Crime","Криминал"
"Torment","6.8","Forced to work extremely hard to keep things afloat, Paul begins hearing voices in his head questioning his past choices. Convinced that his wife has been unfaithful, he begins to see every male guest as a potential threat. What follows is Paul's downward spiral into the madness of deranged jealousy where he finally discovers that hell is not a state of mind – hell is himself.","1994-02-16","fr","Claude Chabrol","Emmanuelle Béart, François Cluzet, Nathalie Cardone, André Wilms, Marc Lavoine","39003","Drama, Crime, Thriller","Драма, Криминал, Триллер"
"Death Wish V: The Face of Death","5.5","Paul Kersey is back at working vigilante justice when his fiancée, Olivia, has her business threatened by mobsters","1994-01-14","en","Allan A. Goldstein","Charles Bronson, Lesley-Anne Down, Michael Parks, Chuck Shamata, Robert Joy","1702394","Action, Crime, Drama","Боевик, Криминал, Драма"
"Casino","8.005","In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.","1995-11-22","en","Martin Scorsese","Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles","116112375","Crime, Drama","Криминал, Драма"
"The Basketball Diaries","7.398","A high school basketball player’s life turns upside down after free-falling into the harrowing world of drug addiction.","1995-04-21","en","Scott Kalvert","Leonardo DiCaprio, Mark Wahlberg, Lorraine Bracco, Michael Imperioli, Ernie Hudson","2381087","Drama, Crime","Драма, Криминал"
"Crying Freeman","6.4","A lethal assassin for a secret Chinese organisation, who sheds tears of regret each time he kills, is seen swiftly and mercilessly executing three Yakuza gangsters by a beautiful artist. She is captivated by the grace of his kill and later falls in love with him. An intense power struggle for the leadership of the Yakuza Clans ensues as they seek vengeance for the death of their leader.","1995-04-23","en","Christophe Gans","Mark Dacascos, Byron Mann, Masaya Katô, Tchéky Karyo, Julie Condra","0","Action, Crime","Боевик, Криминал"
"Dead Presidents","6.6","On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!","1995-09-29","en","Albert Hughes","Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez, Rose Jackson","24100000","Action, Crime","Боевик, Криминал"
"The Doom Generation","6.4","Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embarks on a sex- and violence-filled journey through a United States of psychos and quickie marts.","1995-10-27","en","Gregg Araki","Rose McGowan, James Duval, Johnathon Schaech, Cress Williams, Dustin Nguyen","284785","Comedy, Crime, Drama","Комедия, Криминал, Драма"
"Money Train","5.8","When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.","1995-11-21","en","Joseph Ruben","Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake, Chris Cooper","77224232","Action, Comedy, Crime","Боевик, Комедия, Криминал"
"Murder in the First","7.167","A young, inexperienced public defender is assigned to defend an inmate accused of committing murder while behind bars.","1995-01-20","en","Marc Rocco","Christian Slater, Kevin Bacon, Gary Oldman, Embeth Davidtz, William H. Macy","29500000","Crime, Drama","Криминал, Драма"
"Kids","6.9","A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.","1995-07-28","en","Larry Clark","Leo Fitzpatrick, Justin Pierce, Chloë Sevigny, Rosario Dawson, Yakira Peguero","20412216","Drama, Crime","Драма, Криминал"
"Trainspotting","8","Heroin addict Mark Renton stumbles through bad ideas and sobriety attempts with his unreliable friends -- Sick Boy, Begbie, Spud and Tommy. He also has an underage girlfriend, Diane, along for the ride. After cleaning up and moving from Edinburgh to London, Mark finds he can't escape the life he left behind when Begbie shows up at his front door on the lam, and a scheming Sick Boy follows.","1996-02-23","en","Danny Boyle","Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle","72000000","Drama, Crime","Драма, Криминал"
"The Bandit","7.3","Baran the Bandit, released from prison after serving 35 years, searches for vengeance against his former best friend who betrayed him and stole his lover, teaming up with a young punk with his own demons along the way.","1996-11-29","tr","Yavuz Turgul","Şener Şen, Uğur Yücel, Sermin Hürmeriç, Yeşim Salkım, Kamran Usluer","0","Crime, Drama, Thriller","Криминал, Драма, Триллер"
"All of a Sudden","6.1","An erotic mystery about widower seeks revenge to the man whose wife had an affair before her apparent suicide, however things soon turns complicated when the widower having a relationship with the man's wife and the whole truth would reveals.","1996-06-14","cn","Herman Yau","Irene Wan, Simon Yam, Alfred Cheung Kin-Ting, Dayo Wong, Lam Chiu-Wing","0","Crime, Drama, Romance","Криминал, Драма, Романтика"
"Set It Off","7.2","Four inner-city Black women, determined to end their constant struggle, decide to live by one rule — get what you want or die trying. So the four women take back their lives and take out some banks in the process.","1996-11-06","en","F. Gary Gray","Jada Pinkett Smith, Queen Latifah, Vivica A. Fox, Kimberly Elise, Blair Underwood","41590886","Crime, Drama, Thriller","Криминал, Драма, Триллер"
"Fireworks","7.677","Detective Nishi is relieved from a stakeout to visit his sick wife in hospital. He is informed that she is terminally ill, and is advised to take her home. During his visit, a suspect shoots one detective dead and leaves Nishi's partner, Horibe, paralyzed. Nishi leaves the police force to spend time with his wife at home, and must find a way to pay off his debts to the yakuza.","1997-10-30","ja","Takeshi Kitano","Takeshi Kitano, Kayoko Kishimoto, Ren Osugi, Susumu Terajima, Tetsu Watanabe","0","Crime, Drama","Криминал, Драма"
"Breakdown","6.9","When his SUV breaks down on a remote Southwestern road, Jeff Taylor lets his wife, Amy, hitch a ride with a trucker to get help. When she doesn't return, Jeff fixes his SUV and tracks down the trucker -- who tells the police he's never seen Amy. Johnathan Mostow's tense thriller then follows Jeff's desperate search for his wife, which eventually uncovers a small town's murderous secret.","1997-05-02","en","Jonathan Mostow","Kurt Russell, J.T. Walsh, Kathleen Quinlan, M.C. Gainey, Jack Noseworthy","50159144","Crime, Mystery, Thriller","Криминал, Мистика, Триллер"
"Jackie Brown","7.4","Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan — with help from a bail bondsman — to keep the money for herself.","1997-12-25","en","Quentin Tarantino","Pam Grier, Samuel L. Jackson, Robert De Niro, Bridget Fonda, Michael Keaton","39673162","Crime, Drama, Thriller","Криминал, Драма, Триллер"
"Nothing to Lose","6.535","Advertising executive Nick Beame learns that his wife is sleeping with his employer. In a state of despair, he encounters a bumbling thief whose attempted carjacking goes awry when Nick takes him on an involuntary joyride. Soon the betrayed businessman and the incompetent crook strike up a partnership and develop a robbery-revenge scheme. But it turns out that some other criminals in the area don't appreciate the competition.","1997-07-18","en","Steve Oedekerk","Martin Lawrence, Tim Robbins, John C. McGinley, Giancarlo Esposito, Kelly Preston","44480039","Comedy, Crime","Комедия, Криминал"
"Lock, Stock and Two Smoking Barrels","8.1","A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.","1998-08-28","en","Guy Ritchie","Vinnie Jones, Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham","28356188","Comedy, Crime","Комедия, Криминал"
"Belly","6","Tommy Bundy and Sincere are best friends as well as infamous and ruthless criminals and shot-callers in the hood. Respected by many but feared by all.  As the police are closing in on them and new players are looking for a come up, will their reign last?","1998-11-04","en","Hype Williams","DMX, Nas, Hassan Johnson, Taral Hicks, Tionne 'T-Boz' Watkins","0","Crime, Drama","Криминал, Драма"
"Rounders","7","A young reformed gambler must return to playing big stakes poker to help a friend pay off loan sharks.","1998-09-11","en","John Dahl","Matt Damon, Edward Norton, John Turturro, Gretchen Mol, John Malkovich","22900000","Drama, Crime","Драма, Криминал"
"Clay Pigeons","6.168","Clay is a young man in a small town who witnesses his friend, Earl kill himself because of the ongoing affair that Clay was having with the man's wife, Amanda. Feeling guilty, Clay now resists the widow when she presses him to continue with their sexual affairs. Clay inadvertently befriends a serial killer named Lester Long, who murders the widow in an attempt to ""help"" his ""fishing buddy.""","1998-09-25","en","David Dobkin","Joaquin Phoenix, Vince Vaughn, Janeane Garofalo, Scott Wilson, Gregory Sporleder","1800000","Crime, Comedy","Криминал, Комедия"
"Twilight","6.1","A retired detective accepts a simple task, unaware that it will tear open old, forgotten, but deadly wounds.","1998-03-06","en","Robert Benton","Paul Newman, Susan Sarandon, Gene Hackman, Reese Witherspoon, Stockard Channing","15055091","Crime, Thriller","Криминал, Триллер"
"Half Baked","6.3","Three lovable party buds try to bail their friend out of jail. But just when the guys have mastered a plan, everything comes dangerously close to going up in smoke.","1998-01-16","en","Tamra Davis","Dave Chappelle, Jim Breuer, Harland Williams, Guillermo Díaz, Rachel True","17460020","Comedy, Crime","Комедия, Криминал"
"Out of Sight","6.674","Meet Jack Foley, a smooth criminal who bends the law and is determined to make one last heist. Karen Sisco is a federal marshal who chooses all the right moves … and all the wrong guys. Now they're willing to risk it all to find out if there's more between them than just the law.","1998-06-26","en","Steven Soderbergh","George Clooney, Jennifer Lopez, Ving Rhames, Don Cheadle, Steve Zahn","77745966","Romance, Comedy, Crime","Романтика, Комедия, Криминал"
"The Green Mile","8.5","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.","1999-12-10","en","Frank Darabont","Tom Hanks, David Morse, Bonnie Hunt, Michael Clarke Duncan, James Cromwell","286801374","Fantasy, Drama, Crime","Фэнтези, Драма, Криминал"
"The Thomas Crown Affair","6.7","A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.","1999-08-06","en","John McTiernan","Pierce Brosnan, Rene Russo, Denis Leary, Ben Gazzara, Frankie Faison","124300000","Drama, Crime, Romance","Драма, Криминал, Романтика"
"Detective Conan: The Last Wizard of the Century","7.277","Kaitou Kid dares to challenge the police once more, setting his sights on the Russian Imperial Easter Egg. With the date, time, and place, the Osaka police force scrambles to stop him. But this time, Kid may have bitten off more than he can chew—Conan Edogawa, Heiji Hattori, and numerous others are also trying to get their hands on the jeweled egg.","1999-04-17","ja","Kenji Kodama","Minami Takayama, Kappei Yamaguchi, Wakana Yamazaki, Akira Kamiya, Chafurin","22951145","Adventure, Animation, Crime, Drama, Mystery","Приключения, Анимация, Криминал, Драма, Мистика"
"The Rifleman of the Voroshilov Regiment","7.2","A very typical post-Soviet era storyline. A bunch of vagabonds lured an innocent teenage girl to their apartment, offered her a drink, intimidated, then gang raped her. Local cops are incapable to undertake an adequate actions against the scoundrels - prevented by the superior chief of the local police, who is the dad of one of the scumbags. The case is closed. The girl's granddad tired of an endless circumlocution decides to take revenge in his own hands.","1999-04-19","ru","Stanislav Govorukhin","Mikhail Ulyanov, Anna Sinyakina, Aleksandr Porokhovshchikov, Vladislav Galkin, Irina Rozanova","0","Drama, Action, Crime","Драма, Боевик, Криминал"
"The General's Daughter","6.386","When the body of Army Capt. Elisabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell.","1999-06-18","en","Simon West","John Travolta, Madeleine Stowe, James Cromwell, Timothy Hutton, Leslie Stefanson","149700000","Thriller, Mystery, Crime","Триллер, Мистика, Криминал"
"Herod's Law","7.9","In the 1940s, a small Mexican town has seen its last three mayors assassinated in rapid succession. A naive janitor is recruited to become the new mayor, and he believes he will modernize the little town and usher in a reign of peace. But the system corrupts him very quickly, and he takes to abusing his power while associating with an unscrupulous assortment of opportunists, hypocrites and criminals.","1999-11-09","es","Luis Estrada","Damián Alcázar, Pedro Armendáriz Jr., Isela Vega, Salvador Sánchez, Juan Carlos Colombo","52000","Comedy, Crime, Mystery, Drama","Комедия, Криминал, Мистика, Драма"
